concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
{30 (Ascorbic Acid 120 MG / Calcium Citrate 125 MG / Cholecalciferol 400 UNT / Folic Acid 1 MG / Iron Carbonyl 20 MG / Pyridoxine Hydrochloride 25 MG Oral Tablet) / 10 (Pyridoxine Hydrochloride 25 MG Oral Tablet) } Pack|90|30|3|270|90|40239422|1100470|95|25|8|297|81
Chondroitin Sulfates 133 MG / Glucosamine hydrochloride 167 MG Oral Capsule|90|30|7|180|30|40239447|1112813|95|25|12|198|27
Dextromethorphan Hydrobromide 10 MG / Guaifenesin 200 MG Oral Capsule|11|2|6|40|20|40239498|1111663|16|-3|11|44|18
1 ML glatiramer acetate 20 MG/ML Prefilled Syringe|30|30|10|30|30|40239539|1111641|35|25|15|33|27
12 HR desloratadine 2.5 MG / Pseudoephedrine sulfate 120 MG Extended Release Oral Tablet|90|10|5|180|20|40239547|1112248|95|5|10|198|18
Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution|4|2|0|355|236|40239569|1113705|9|-3|5|390.5|212.4
Acetaminophen 325 MG / Chlorpheniramine Maleate 2 MG Oral Tablet|28|4|1|40|20|40239617|1112864|33|-1|6|44|18
Acetaminophen 325 MG / Dextromethorphan Hydrobromide 10 MG / Guaifenesin 200 MG / Phenylephrine Hydrochloride 5 MG Oral Tablet|90|10|5|120|24|40239620|1110988|95|5|10|132|21.6
Amylases 15000 UNT / Endopeptidases 9500 UNT / Lipase 3000 UNT Delayed Release Oral Capsule|90|10|8|350|30|40239655|1113042|95|5|13|385|27
belatacept 250 MG Injection|28|1|10|3|1|40239667|1112976|33|-4|15|3.3|0.9
Calcium Carbonate 1250 MG / Ergocalciferol 200 UNT Oral Tablet|90|30|5|180|30|40239689|1112493|95|25|10|198|27
Calcium Carbonate 250 MG / Magnesium Oxide 155 MG Oral Tablet|90|90|2|270|270|40239692|1112810|95|85|7|297|243
Chlorpheniramine Maleate 0.8 MG/ML / Hydrocodone Bitartrate 1 MG/ML / Pseudoephedrine Hydrochloride 12 MG/ML Oral Solution|18|18|0|360|360|40239780|1112220|23|13|5|396|324
Chlorpheniramine Maleate 0.2 MG/ML / Dextromethorphan Hydrobromide 1.5 MG/ML Oral Solution|7|5|0|118|118|40239801|1111440|12|0|5|129.8|106.2
Sapropterin dihydrochloride 100 MG Powder for Oral Solution|30|30|10|120|30|40239922|1111018|35|25|15|132|27
acrivastine 8 MG / Pseudoephedrine Hydrochloride 60 MG Oral Capsule|90|10|6|270|30|40239945|1112244|95|5|11|297|27
dexpanthenol 0.2 MG/ML / Magnesium Sulfate 0.0467 MG/ML / manganese sulfate 0.0467 MG/ML / Niacinamide 0.467 MG/ML / pyridoxine 0.0467 MG/ML / Riboflavin 0.04 MG/ML / Thiamine 0.0333 MG/ML / Vitamin B 12 0.000133 MG/ML / Zinc Sulfate 0.333 MG/ML Oral Solu|10|10|3|480|473|40239980|1111748|15|5|8|528|425.7
fidaxomicin 200 MG Oral Tablet|14|4|1|28|7|40239987|1111106|19|-1|6|30.8|6.3
ezogabine 200 MG Oral Tablet|90|14|5|180|30|40239997|1112993|95|9|10|198|27
ezogabine 300 MG Oral Tablet|74|22|5|200|30|40240001|1112999|79|17|10|220|27
ezogabine 400 MG Oral Tablet|30|14|14|90|11|40240005|1113003|35|9|19|99|9.9
ezogabine 50 MG Oral Tablet|31|7|5|330|30|40240009|1113007|36|2|10|363|27
olopatadine 1 MG/ML Ophthalmic Solution|75|15|5|15|5|40240035|1111339|80|10|10|16.5|4.5
olopatadine 2 MG/ML Ophthalmic Solution|56|15|6|5|2.5|40240039|1111343|61|10|11|5.5|2.25
Lactobacillus acidophilus / pectin Oral Capsule|90|10|3|90|10|40240143|1112894|95|5|8|99|9
Oxycodone Hydrochloride 7.5 MG Oral Tablet|30|7|0|120|18|40240172|1113314|35|2|5|132|16.2
Naproxen sodium 220 MG Oral Capsule|90|10|6|180|20|40240187|1112231|95|5|11|198|18
potassium bicarbonate 10 MEQ Effervescent Oral Tablet|90|10|9|180|15|40240211|1111265|95|5|14|198|13.5
potassium bicarbonate 20 MEQ Effervescent Oral Tablet|90|14|7|180|15|40240215|1111261|95|9|12|198|13.5
1.5 ML Leuprolide Acetate 15 MG/ML Prefilled Syringe|90|30|3|1|1|40240342|1115467|95|25|8|1.1|0.9
1.5 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe|180|30|1|1|1|40240346|1115257|185|25|6|1.1|0.9
1.5 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe|90|30|3|1|1|40240348|1115472|95|25|8|1.1|0.9
1 ML Leuprolide Acetate 11.25 MG/ML Prefilled Syringe|90|28|5|1|1|40240359|1115447|95|23|10|1.1|0.9
1 ML Leuprolide Acetate 15 MG/ML Prefilled Syringe|30|28|10|1|1|40240361|1115454|35|23|15|1.1|0.9
1 ML Leuprolide Acetate 3.75 MG/ML Prefilled Syringe|30|28|7|1|1|40240363|1115457|35|23|12|1.1|0.9
1 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe|30|28|8|1|1|40240365|1115462|35|23|13|1.1|0.9
24 HR Pramipexole dihydrochloride 2.25 MG Extended Release Oral Tablet|90|30|6|90|30|40240368|1114479|95|25|11|99|27
24 HR Pramipexole dihydrochloride 3.75 MG Extended Release Oral Tablet|90|30|5|90|30|40240370|1114485|95|25|10|99|27
24 HR Naproxen 375 MG Extended Release Oral Tablet|90|15|3|180|30|40240375|1116320|95|10|8|198|27
24 HR Naproxen 500 MG Extended Release Oral Tablet|90|14|3|180|28|40240377|1116339|95|9|8|198|25.2
24 HR Naproxen 750 MG Extended Release Oral Tablet|90|30|5|90|30|40240379|1116349|95|25|10|99|27
Acetaminophen 32.5 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution|10|5|2|180|118|40240406|1116572|15|0|7|198|106.2
Acetaminophen 32.5 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution|177|5|0|354|177|40240409|1116568|182|0|5|389.4|159.3
Ascorbic Acid 113 MG / Copper Gluconate 0.4 MG / docosahexaenoic acid 87.5 MG / Eicosapentaenoic Acid 163 MG / Lutein 2.5 MG / Tocopherol Acetate 100 UNT / zeaxanthin 0.5 MG / Zinc Oxide 17.4 MG Oral Capsule|30|7|0|60|7|40240428|1116357|35|2|5|66|6.3
Amylases 16000 UNT / Endopeptidases 10000 UNT / Lipase 3000 UNT Delayed Release Oral Capsule|90|11|9|360|30|40240449|1114127|95|6|14|396|27
hydrocortisone acetate 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Topical Cream|35|7|9|113.6|28.4|40240650|1116499|40|2|14|124.96|25.56
indacaterol 0.075 MG Inhalation Powder|90|30|8|90|30|40240666|1114329|95|25|13|99|27
Docusate Sodium 100 MG Oral Capsule|35|7|13|112|14|40240688|1115005|40|2|18|123.2|12.6
Fentanyl 0.1 MG/ACTUAT Nasal Spray|30|5|0|60|4|40240780|1115573|35|0|5|66|3.6
Fentanyl 0.4 MG/ACTUAT Nasal Spray|30|4|0|90|2|40240784|1115577|35|-1|5|99|1.8
Glycerin 75 MG/ML Medicated Pad|30|10|0|45|30|40240869|1114098|35|5|5|49.5|27
Levothyroxine Sodium 0.1 MG Injection|30|2|38|77|2|40240992|1115267|35|-3|43|84.7|1.8
Levothyroxine Sodium 0.2 MG Injection|42|2|39|30|3|40240995|1115269|47|-3|44|33|2.7
Menthol 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Topical Cream|28|5|1|56.6|28|40241015|1116155|33|0|6|62.26|25.2
Nitroglycerin 0.004 MG/MG Rectal Ointment|30|7|3|30|30|40241038|1114466|35|2|8|33|27
Oseltamivir 6 MG/ML Oral Suspension|14|2|0|180|50|40241046|1115698|19|-3|5|198|45
Sodium Chloride 60 MG/ML Inhalation Solution|8|1|0|64|16|40241119|1115812|13|-4|5|70.4|14.4
Sulfacetamide Sodium 90 MG/ML / Sulfur 45 MG/ML Medicated Liquid Soap|30|30|2|454|454|40241120|1115894|35|25|7|499.4|408.6
Thioctic Acid 100 MG Oral Capsule|60|7|11|186|14|40241161|1115552|65|2|16|204.6|12.6
Thioctic Acid 300 MG Oral Capsule|35|7|11|105|21|40241169|1115568|40|2|16|115.5|18.9
Thioctic Acid 600 MG Oral Capsule|31|14|5|39|14|40241178|1115585|36|9|10|42.9|12.6
Ticagrelor 90 MG Oral Tablet|90|14|8|180|28|40241188|1116635|95|9|13|198|25.2
bacitracin zinc 0.4 UNT/MG / hydrocortisone acetate 0.01 MG/MG / Neomycin Sulfate 0.0035 MG/MG / Polymyxin B Sulfate 10 UNT/MG Ophthalmic Ointment|30|4|2|3.5|3.5|40241219|1116150|35|-1|7|3.85|3.15
docosahexaenoic acid 250 MG / Eicosapentaenoic Acid 0.625 MG Oral Capsule|90|30|8|180|60|40241282|1114508|95|25|13|198|54
rivaroxaban 10 MG Oral Tablet|90|7|9|90|7|40241333|1114198|95|2|14|99|6.3
{9 (Once-Daily gabapentin 300 MG Oral Tablet) / 69 (Once-Daily gabapentin 600 MG Oral Tablet) } Pack|30|21|1|78|33|40241453|1115015|35|16|6|85.8|29.7
100 ML zoledronic acid 0.04 MG/ML Injection|90|28|9|100|100|40241455|1114085|95|23|14|110|90
Colistin 75 MG/ML Injectable Solution|30|1|7|120|2|40241488|1117522|35|-4|12|132|1.8
Dexamethasone phosphate 4 MG/ML Injectable Solution|30|1|3|45|5|40241504|1116927|35|-4|8|49.5|4.5
1 ML abatacept 125 MG/ML Prefilled Syringe|84|28|7|12|4|40241523|1145929|89|23|12|13.2|3.6
24 HR lamotrigine 250 MG Extended Release Oral Tablet|90|28|7|180|30|40241527|1146690|95|23|12|198|27
3 ML icatibant 10 MG/ML Prefilled Syringe|30|1|26|36|6|40241531|1148141|35|-4|31|39.6|5.4
24 HR Loratadine 10 MG / Pseudoephedrine sulfate 240 MG Extended Release Oral Tablet|90|10|6|90|10|40241536|1117562|95|5|11|99|9
Ascorbic Acid 30 MG / Cholecalciferol 1000 UNT / cuprous oxide 2 MG / Folic Acid 1 MG / Magnesium Oxide 20 MG / Niacin 15 MG / Polysaccharide iron complex 29 MG / Potassium Iodide 0.15 MG / Pyridoxine Hydrochloride 2.5 MG / Riboflavin 1.8 MG / Thiamine Mo|90|30|6|90|30|40241646|1119569|95|25|11|99|27
Amylases 136000 UNT / Endopeptidases 85000 UNT / Lipase 25000 UNT Delayed Release Oral Capsule|90|14|6|600|42|40241651|1117096|95|9|11|660|37.8
Ascorbate Manganese 19 MG / Chondroitin Sulfates 400 MG / Glucosamine hydrochloride 500 MG Oral Capsule|4|4|0|12|12|40241657|1144964|9|-1|5|13.2|10.8
Calcium Carbonate 333 MG / Cholecalciferol 133 UNT / Magnesium Oxide 133 MG / Zinc Oxide 5 MG Oral Tablet|31|14|12|31|14|40241698|1125500|36|9|17|34.1|12.6
Chlorpheniramine Maleate 0.2 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / Pseudoephedrine Hydrochloride 3 MG/ML Oral Solution|6|6|0|118|118|40241769|1117392|11|1|5|129.8|106.2
Vemurafenib 240 MG Oral Tablet|31|18|8|240|60|40241939|1147223|36|13|13|264|54
chloroquine phosphate 250 MG Oral Tablet|90|20|5|90|8|40241955|1117531|95|15|10|99|7.2
chloroquine phosphate 500 MG Oral Tablet|90|7|2|40|4|40241958|1116758|95|2|7|44|3.6
emtricitabine 200 MG / Rilpivirine 25 MG / Tenofovir disoproxil fumarate 300 MG Oral Tablet|30|30|6|30|30|40241982|1147334|35|25|11|33|27
everolimus 7.5 MG Oral Tablet|30|28|6|30|28|40242016|1119400|35|23|11|33|25.2
Dextromethorphan Hydrobromide 20 MG / Guaifenesin 400 MG Oral Tablet|30|5|8|90|24|40242070|1147685|35|0|13|99|21.6
Bacillus coagulans 25000000 UNT / Lactobacillus acidophilus 35000000 UNT Oral Tablet|90|4|12|90|16|40242238|1147378|95|-1|17|99|14.4
potassium nitrate 250 MG/ML / Silver Nitrate 750 MG/ML Medicated Pad|90|1|2|100|1|40242344|1117536|95|-4|7|110|0.9
Cholecalciferol 80 UNT/ML Oral Solution|90|30|6.5|90|30|40242473|1148597|95|25|11.5|99|27
Chondroitin Sulfates 40 MG/ML / Glucosamine hydrochloride 66.7 MG/ML Oral Solution|30|14|4|60|28|40242476|1150067|35|9|9|66|25.2
Chondroitin Sulfates 400 MG / Glucosamine Sulfate 500 MG Oral Tablet|1|1|0|1|1|40242477|1150310|6|-4|5|1.1|0.9
12 HR tapentadol 100 MG Extended Release Oral Tablet|30|14|0|60|28|40242495|1148797|35|9|5|66|25.2
12 HR tapentadol 150 MG Extended Release Oral Tablet|30|15|0|60|30|40242497|1148800|35|10|5|66|27
12 HR tapentadol 200 MG Extended Release Oral Tablet|30|17|0|60|30|40242499|1148803|35|12|5|66|27
12 HR tapentadol 250 MG Extended Release Oral Tablet|30|28|0|60|30|40242501|1148807|35|23|5|66|27
12 HR tapentadol 50 MG Extended Release Oral Tablet|30|14|0|62|28|40242503|1148809|35|9|5|68.2|25.2
24 HR tramadol hydrochloride 100 MG Extended Release Oral Capsule|90|14|2|90|21|40242507|1148478|95|9|7|99|18.9
24 HR tramadol hydrochloride 200 MG Extended Release Oral Capsule|90|28|3|90|28|40242509|1148485|95|23|8|99|25.2
24 HR tramadol hydrochloride 300 MG Extended Release Oral Capsule|90|28|3|90|28|40242511|1148489|95|23|8|99|25.2
28 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT Dry Powder Inhaler|90|7|15|168|28|40242513|1148645|95|2|20|184.8|25.2
8 HR Acetaminophen 650 MG Extended Release Oral Tablet|31|7|13|124|21|40242522|1148399|36|2|18|136.4|18.9
84 HR Estradiol 0.00313 MG/HR Transdermal System|84|28|8|24|8|40242524|1149632|89|23|13|26.4|7.2
Bifidobacterium animalis 6000000000 UNT / Bifidobacterium longum 1500000000 UNT / Lactobacillus acidophilus 7500000000 UNT Oral Capsule|30|28|8|60|28|40242570|1150101|35|23|13|66|25.2
Psyllium 525 MG Oral Capsule|90|28|5|200|30|40242606|1150284|95|23|10|220|27
crizotinib 200 MG Oral Capsule|30|30|6|60|30|40242677|1148498|35|25|11|66|27
crizotinib 250 MG Oral Capsule|30|30|7|60|30|40242681|1148504|35|25|12|66|27
Levobunolol Hydrochloride 5 MG/ML Ophthalmic Solution|100|23|5|20|5|40242777|1150836|105|18|10|22|4.5
{8 (Methotrexate 2.5 MG Oral Tablet) } Pack|28|21|1|40|24|40243105|1150117|33|16|6|44|21.6
1 ML Naloxone Hydrochloride 0.4 MG/ML Cartridge|30|1|0|10|1|40243195|1191234|35|-4|5|11|0.9
24 HR Testosterone 0.0833 MG/HR Transdermal System|90|30|3|90|28|40243196|1190953|95|25|8|99|25.2
10 ML Atropine Sulfate 0.1 MG/ML Prefilled Syringe|30|1|4|20|5|40243198|1190546|35|-4|9|22|4.5
120 ACTUAT Albuterol 0.1 MG/ACTUAT / Ipratropium Bromide 0.02 MG/ACTUAT Metered Dose Inhaler|90|20|6|12|4|40243202|1190220|95|15|11|13.2|3.6
2 ML Naloxone Hydrochloride 1 MG/ML Prefilled Syringe|30|1|0|4|2|40243206|1191250|35|-4|5|4.4|1.8
5 ML Atropine Sulfate 0.1 MG/ML Prefilled Syringe|1|1|0|5|5|40243213|1190552|6|-4|5|5.5|4.5
Acetaminophen 650 MG / Dexbrompheniramine maleate 2 MG Oral Tablet|30|7|0|90|30|40243235|1190931|35|2|5|99|27
Acetaminophen 321 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule|30|4|2|200|20|40243244|1190195|35|-1|7|220|18
Atropine Sulfate 0.005 MG/ML / Diphenoxylate Hydrochloride 0.5 MG/ML Oral Solution|30|2|3|720|60|40243318|1190568|35|-3|8|792|54
Atropine Sulfate 0.01 MG/MG Ophthalmic Ointment|30|2|1|3.5|3.5|40243324|1190570|35|-3|6|3.85|3.15
Atropine Sulfate 0.025 MG / Difenoxin hydrochloride 1 MG Oral Tablet|1|1|0|4|4|40243337|1190738|6|-4|5|4.4|3.6
Atropine Sulfate 0.025 MG / Diphenoxylate Hydrochloride 2.5 MG Oral Tablet|33|3|3|240|15|40243340|1190572|38|-2|8|264|13.5
Atropine Sulfate 0.4 MG/ML Injectable Solution|30|1|1|60|20|40243414|1190776|35|-4|6|66|18
1 ML Atropine Sulfate 1 MG/ML Injection|28|1|2|50|1|40243436|1190795|33|-4|7|55|0.9
Atropine Sulfate 10 MG/ML Ophthalmic Solution|90|2|4|15|2|40243447|1190655|95|-3|9|16.5|1.8
Carboxymethylcellulose Sodium 5 MG/ML Ophthalmic Solution|57|8|9|70|15|40243494|1188426|62|3|14|77|13.5
Proparacaine hydrochloride 5 MG/ML Ophthalmic Solution|90|1|3|30|1|40243589|1191013|95|-4|8|33|0.9
Doxorubicin Hydrochloride 2 MG/ML Injectable Solution|30|1|5|100|48.5|40243759|1191138|35|-4|10|110|43.65
Docusate Sodium 56.6 MG/ML Enema|30|10|7|150|30|40243794|1190184|35|5|12|165|27
Fluocinolone Acetonide 0.00025 MG/MG Topical Ointment|30|7|3|120|15|40243835|1191256|35|2|8|132|13.5
Fluocinolone Acetonide 0.1 MG/ML Medicated Shampoo|30|7|3|240|120|40243859|1191265|35|2|8|264|108
Fluocinolone Acetonide 0.1 MG/ML Otic Solution|80|7|2|20|20|40243864|1191299|85|2|7|22|18
Fluocinolone Acetonide 0.1 MG/ML Topical Cream|30|5|3|60|15|40243866|1191302|35|0|8|66|13.5
Fluocinolone Acetonide 0.1 MG/ML Topical Oil|40|10|3|236.56|118.28|40243870|1191307|45|5|8|260.216|106.452
Fluocinolone Acetonide 0.1 MG/ML Topical Solution|30|10|3|120|60|40243872|1191310|35|5|8|132|54
Fluocinolone Acetonide 0.25 MG/ML / Neomycin Sulfate 5 MG/ML Topical Cream|30|6|2|60|60|40243886|1191359|35|1|7|66|54
Fluocinolone Acetonide 0.25 MG/ML Topical Cream|30|7|3|120|15|40243887|1191315|35|2|8|132|13.5
Fluoxetine 60 MG Oral Tablet|90|14|5|90|14|40243919|1190110|95|9|10|99|12.6
Naloxone Hydrochloride 0.4 MG/ML Injectable Solution|30|1|2|1800|1|40244026|1191222|35|-4|7|1980|0.9
Acetaminophen 325 MG / Chlorpheniramine Maleate 4 MG / Phenylephrine Hydrochloride 10 MG Oral Tablet|5|5|0|16|16|40244101|1193293|10|0|5|17.6|14.4
Benzocaine 4 MG/ML / Docusate Sodium 56.6 MG/ML Enema|30|30|2|150|150|40244131|1192984|35|25|7|165|135
Cellulose 3000 MG Oral Powder|30|7|8|480|240|40244164|1191769|35|2|13|528|216
Zolpidem tartrate 1.75 MG Sublingual Tablet|90|14|3|90|14|40244256|1232194|95|9|8|99|12.6
Zolpidem tartrate 3.5 MG Sublingual Tablet|90|15|3|90|15|40244260|1232202|95|10|8|99|13.5
0.05 ML aflibercept 40 MG/ML Injection|35|28|6|0.1|0.05|40244268|1232154|40|23|11|0.11|0.045
dimethicone 15 MG/ML Medicated Liquid Soap|19|17|0|266|266|40244299|1192741|24|12|5|292.6|239.4
Inulin 1500 MG Chewable Tablet|90|14|9|180|28|40244380|1192430|95|9|14|198|25.2
100 ML Levetiracetam 10 MG/ML Injection|8|1|21|1500|200|40244398|1193358|13|-4|26|1650|180
100 ML Levetiracetam 15 MG/ML Injection|5|1|0|1000|200|40244400|1193360|10|-4|5|1100|180
100 ML Levetiracetam 5 MG/ML Injection|28|1|10|1100|200|40244402|1193362|33|-4|15|1210|180
Menthol 0.037 MG/MG Topical Gel|30|5|6|113.4|113.4|40244411|1192745|35|0|11|124.74|102.06
rivaroxaban 15 MG Oral Tablet|90|14|9|90|14|40244444|1232082|95|9|14|99|12.6
rivaroxaban 20 MG Oral Tablet|90|14|8|90|14|40244448|1232086|95|9|13|99|12.6
ruxolitinib 10 MG Oral Tablet|30|30|7|60|30|40244466|1193331|35|25|12|66|27
ruxolitinib 15 MG Oral Tablet|30|30|7|60|30|40244470|1193343|35|25|12|66|27
ruxolitinib 20 MG Oral Tablet|30|30|7|60|30|40244474|1193347|35|25|12|66|27
ruxolitinib 25 MG Oral Tablet|30|30|7|60|30|40244478|1193351|35|25|12|66|27
ruxolitinib 5 MG Oral Tablet|30|30|6|120|30|40244482|1193339|35|25|11|132|27
Calcium / Cholecalciferol Oral Tablet|40|28|13|80|28|40822308|OMOP2020270|45|23|18|88|25.2
Calcium / Phosphoric acid / Sodium Oral Solution|14|14|0|900|900|41267665|OMOP2465627|19|9|5|990|810
Bifidobacterium bifidum / Lactobacillus acidophilus / Saccharomyces boulardii Oral Capsule|30|7|14|56|7|41298711|OMOP2496673|35|2|19|61.6|6.3
lansoprazole 3 MG/ML Oral Solution|30|30|2|300|300|42482020|OMOP418999|35|25|7|330|270
5 ML Levocarnitine 200 MG/ML Injection|28|3|33|1650|5|42628873|1791371|33|-2|38|1815|4.5
250 ML Mannitol 200 MG/ML Injection|10|2|0|2000|2000|42628888|1791403|15|-3|5|2200|1800
500 ML Mannitol 200 MG/ML Injection|1|1|0|500|1|42628892|1791408|6|-4|5|550|0.9
Abuse-Deterrent 12 HR Oxycodone 13.5 MG Extended Release Oral Capsule|30|14|0|60|28|42628921|1791558|35|9|5|66|25.2
Abuse-Deterrent 12 HR Oxycodone 18 MG Extended Release Oral Capsule|30|14|0|60|28|42628927|1791567|35|9|5|66|25.2
Abuse-Deterrent 12 HR Oxycodone 27 MG Extended Release Oral Capsule|30|14|0|90|28|42628933|1791574|35|9|5|99|25.2
Abuse-Deterrent 12 HR Oxycodone 36 MG Extended Release Oral Capsule|30|14|0|120|28|42628939|1791580|35|9|5|132|25.2
Ifosfamide 3000 MG Injection|21|1|3|3|2|42628946|1791588|26|-4|8|3.3|1.8
Ifosfamide 1000 MG Injection|28|1|2|25|2|42628951|1791593|33|-4|7|27.5|1.8
60 ML Ifosfamide 50 MG/ML Injection|63|21|2|540|360|42628954|1791597|68|16|7|594|324
pimavanserin 17 MG Oral Tablet|30|11|9|60|14|42628966|1791691|35|6|14|66|12.6
10 ML Fluorouracil 50 MG/ML Injection|28|10|7|220|5|42628973|1791701|33|5|12|242|4.5
1 ML Oxytocin 10 UNT/ML Injection|55|20|1|600|12|42628979|1791721|60|15|6|660|10.8
20 ML Fluorouracil 50 MG/ML Injection|28|3|9|240|20|42628984|1791736|33|-2|14|264|18
100 ML Milrinone Lactate 0.2 MG/ML Injection|8|1|69|1600|200|42628989|1791840|13|-4|74|1760|180
200 ML Milrinone Lactate 0.2 MG/ML Injection|9|1|35|2000|200|42628991|1791842|14|-4|40|2200|180
10 ML Milrinone Lactate 1 MG/ML Injection|9|1|41|1008|2|42628993|1791854|14|-4|46|1108.8|1.8
20 ML Milrinone Lactate 1 MG/ML Injection|9|3|47|660|80|42628995|1791859|14|-2|52|726|72
50 ML Milrinone Lactate 1 MG/ML Injection|10|3|38|800|39|42628996|1791861|15|-2|43|880|35.1
1 ML Triamcinolone Acetonide 40 MG/ML Injection|30|1|2|181|1|42629018|1792144|35|-4|7|199.1|0.9
Ciprofloxacin 3 MG/ML / Fluocinolone Acetonide 0.25 MG/ML Otic Solution|28|7|1|28|14|42629036|1792386|33|2|6|30.8|12.6
Citric Acid 66 MG/ML / Gluconolactone 1.98 MG/ML / magnesium carbonate 32.7 MG/ML Irrigation Solution|35|4|11|2700|120|42629043|1792396|40|-1|16|2970|108
20 ML atezolizumab 60 MG/ML Injection|21|21|6|20|20|42629082|1792780|26|16|11|22|18
{30 (lenvatinib 10 MG Oral Capsule) / 60 (lenvatinib 4 MG Oral Capsule) } Pack|30|30|5|90|90|42629211|1792392|35|25|10|99|81
Cholecalciferol 400 UNT / tricalcium phosphate 658 MG Chewable Tablet|34|25|8|180|50|42629276|1789539|39|20|13|198|45
2 ML Papaverine Hydrochloride 30 MG/ML Injection|30|4|2|10|4.5|42629320|1789947|35|-1|7|11|4.05
abobotulinumtoxinA 500 UNT Injection|90|1|3|3|1|42629323|1789950|95|-4|8|3.3|0.9
abobotulinumtoxinA 300 UNT Injection|90|1|3|4|1|42629328|1789956|95|-4|8|4.4|0.9
halobetasol propionate 0.5 MG/ML Topical Lotion|30|10|2|120|60|42629332|1789962|35|5|7|132|54
Doxorubicin Hydrochloride 50 MG Injection|21|21|5|4|2|42629344|1790095|26|16|10|4.4|1.8
5 ML Doxorubicin Hydrochloride 2 MG/ML Injection|28|14|5|65|5|42629345|1790097|33|9|10|71.5|4.5
10 ML Doxorubicin Hydrochloride 2 MG/ML Injection|21|14|4|60|2|42629347|1790099|26|9|9|66|1.8
25 ML Doxorubicin Hydrochloride 2 MG/ML Injection|28|14|5|150|25|42629348|1790100|33|9|10|165|22.5
10 ML doxorubicin hydrochloride liposome 2 MG/ML Injection|30|21|6|40|20|42629353|1790115|35|16|11|44|18
perampanel 0.5 MG/ML Oral Suspension|56|17|5|680|120|42629357|1790122|61|12|10|748|108
25 ML doxorubicin hydrochloride liposome 2 MG/ML Injection|28|21|4|75|25|42629361|1790127|33|16|9|82.5|22.5
bromfenac 0.75 MG/ML Ophthalmic Solution|90|14|2|5|5|42629370|1790141|95|9|7|5.5|4.5
cabozantinib 20 MG Oral Tablet|30|28|4|90|28|42629383|1790161|35|23|9|99|25.2
cabozantinib 40 MG Oral Tablet|30|30|5|30|20|42629389|1790169|35|25|10|33|18
cabozantinib 60 MG Oral Tablet|30|30|5|30|20|42629393|1790173|35|25|10|33|18
1 ML Doxercalciferol 0.002 MG/ML Injection|30|28|0|40|36|42629404|1790208|35|23|5|44|32.4
2 ML Doxercalciferol 0.002 MG/ML Injection|42|42|0|36|36|42629409|1790219|47|37|5|39.6|32.4
Rasburicase 1.5 MG Injection|28|1|0|16|4|42629465|1790344|33|-4|5|17.6|3.6
Rasburicase 7.5 MG Injection|30|1|3|10|1|42629470|1790349|35|-4|8|11|0.9
4.4 ML Rho(D) Immune Globulin, human 1136 UNT/ML Injection|30|30|0|13.2|13.2|42629488|1790382|35|25|5|14.52|11.88
13 ML Rho(D) Immune Globulin, human 1154 UNT/ML Injection|1|1|0|13|13|42629502|1790512|6|-4|5|14.3|11.7
Abuse-Deterrent 12 HR Oxycodone 9 MG Extended Release Oral Capsule|30|10|0|60|14|42629506|1790527|35|5|5|66|12.6
infliximab-dyyb 100 MG Injection|56|1|2|12|2|42629515|1790541|61|-4|7|13.2|1.8
120 ACTUAT formoterol fumarate 0.0048 MG/ACTUAT / Glycopyrrolate 0.009 MG/ACTUAT Metered Dose Inhaler|90|30|3|32.1|10.7|42629523|1790639|95|25|8|35.31|9.63
Melatonin 1 MG Extended Release Oral Tablet|30|30|0|30|30|42629536|1790660|35|25|5|33|27
Simvastatin 4 MG/ML Oral Suspension|30|30|0|150|150|42629543|1790679|35|25|5|165|135
Psyllium 400 MG Oral Capsule|80|11|4|180|30|42629581|1791065|85|6|9|198|27
5 ML Diltiazem Hydrochloride 5 MG/ML Injection|30|1|0|50|1|42629595|1791229|35|-4|5|55|0.9
10 ML Diltiazem Hydrochloride 5 MG/ML Injection|1|1|0|10|2.2|42629597|1791232|6|-4|5|11|1.98
25 ML Diltiazem Hydrochloride 5 MG/ML Injection|1|1|0|25|1|42629598|1791233|6|-4|5|27.5|0.9
